,place_city,place_region,place_city_en,place_region_area,place_region_pop_2018,place_region_pop_2018_density,place_region_area_perc,place_region_vrp_2016,place_region_pop_2017,place_region_pop_2016,place_region_pop_diff_2017_2016,place_region_pop_diff_n_2017_2016,place_region_pop_diff_m_2017_2016,place_region_wage_2016,place_region_wage_2017,place_region_wage_2018,place_region_wage_diff_2018_2017,place_region_wage_diff_2017_2016,place_is_region_capital,place_region_pop_2017_density,place_region_pop_2016_density,place_region_pop_diff_2018_2017,place_city_lat,place_city_lon
747,Борзя,Забайкальский край,BORZYA G,431892.0,1072806.0,2.5,2.522,262.8,1078983.0,1083012.0,-4029.0,2425.0,-6454.0,29763.5,31219.7,35272.2,4052.5,1456.2,0,2.5,2.5,-6177.0,50.385181,116.533068
748,Борисоглебск,Воронежская область,BORISOGLEBSK,52216.0,2333768.0,44.7,0.305,841.4,2335408.0,2333477.0,1931.0,-10615.0,12546.0,23704.3,25336.9,27971.3,2634.4,1632.6,0,44.7,44.7,-1640.0,51.368015,42.075169
749,Боровичи,Новгородская область,BOROVICHI,54501.0,606476.0,11.1,0.318,244.5,612522.0,615692.0,-3170.0,-3532.0,362.0,25342.7,27193.5,30349.4,3155.9,1850.8,0,11.2,11.3,-6046.0,58.389009,33.906828
750,Братск,Иркутская область,BRATSK G,774846.0,2404195.0,3.1,4.525,1068.7,2408901.0,2412800.0,-3899.0,3247.0,-7146.0,32684.1,34262.5,37959.6,3697.1,1578.4,0,3.1,3.1,-4706.0,56.151708,101.633491
751,Бронницы,Московская область,BRONNICY,44329.0,7503385.0,169.3,0.259,3565.3,7423470.0,7318647.0,104823.0,1082.0,103741.0,39593.0,42751.0,46409.5,3658.5,3158.0,0,167.5,165.1,79915.0,55.421994,38.259061
752,Бугульма,Республика Татарстан,BUGULMA G,67847.0,3894284.0,57.4,0.396,1937.6,3885253.0,3868730.0,16523.0,10643.0,5880.0,27988.3,29299.8,32164.8,2865.0,1311.5,0,57.3,57.0,9031.0,54.538415,52.795595
753,Бузулук,Оренбургская область,BUZULUK G,123702.0,1977720.0,16.0,0.722,772.1,1989589.0,1994762.0,-5173.0,-196.0,-4977.0,23820.9,25319.3,27499.2,2179.9,1498.4,0,16.1,16.1,-11869.0,52.788502,52.253899
754,Бутурлиновка,Воронежская область,BUTURLINOVKA,52216.0,2333768.0,44.7,0.305,841.4,2335408.0,2333477.0,1931.0,-10615.0,12546.0,23704.3,25336.9,27971.3,2634.4,1632.6,0,44.7,44.7,-1640.0,50.828491,40.587322
755,Валдай,Новгородская область,VALDAY,54501.0,606476.0,11.1,0.318,244.5,612522.0,615692.0,-3170.0,-3532.0,362.0,25342.7,27193.5,30349.4,3155.9,1850.8,0,11.2,11.3,-6046.0,57.979141,33.253799
756,Валуйки,Белгородская область,VALUYKI G,27134.0,1549876.0,57.1,0.158,730.6,1552865.0,1550137.0,2728.0,-4339.0,7067.0,24433.7,27550.4,29297.7,1747.3,3116.7,0,57.2,57.1,-2989.0,50.211296,38.100227
757,Великий Новгород,Новгородская область,NOVGOROD VEL,54501.0,606476.0,11.1,0.318,244.5,612522.0,615692.0,-3170.0,-3532.0,362.0,25342.7,27193.5,30349.4,3155.9,1850.8,1,11.2,11.3,-6046.0,58.520986,31.275786
758,Великий Устюг,Вологодская область,VEL. USTUG,144527.0,1176689.0,8.1,0.844,486.2,1183860.0,1187685.0,-3825.0,-2083.0,-1742.0,26873.2,28067.4,32679.9,4612.5,1194.2,0,8.2,8.2,-7171.0,60.761285,46.301467
